name,repo
Dolly,https://github.com/nomic-ai/gpt4all
bloomz.cpp,https://github.com/NouamaneTazi/bloomz.cpp
alpaca.cpp,https://github.com/antimatter15/alpaca.cpp
Stanford Alpaca,https://github.com/tatsu-lab/stanford_alpaca
llama.cpp,https://github.com/ggerganov/llama.cpp
ChatRWKV,https://github.com/BlinkDL/ChatRWKV
RWKV-LM,https://github.com/BlinkDL/RWKV-LM
